Player Name,Link,Analysis,Strengths,Weaknesses,College,Pick,Position,Team,Year
Royce Freeman,https://www.nfl.com/prospects/royce-freeman/32004652-4537-6456-ac22-4a857061d9e4,"Freeman became the leading rusher in Oregon history thanks to talent, consistency and elite productivity. Freeman's high number of career carries will bother some teams as he doesn't appear to play as fast as he did earlier in his career. He has outstanding size and is a natural runner with good vision who could step into an early starter's role -- especially if teams believe he can handle third down snaps as well.","Dependable and productive throughout illustrious career. Has impressive, muscular frame. Build produces some natural power and contact balance when he keeps his play speed up. Uses upper body strength to shrug off angle tackles who come in too high. Plays with a feel for block development. Field vision is good. Uses well-timed throttle downhill behind wash down blocks. Willing interior runner in Ducks inside zone heavy attack. Shows off quality footwork and directional change to keep runs alive when defenders beat their blocks early in rep. Contorts to shape of the run lane and squeezes through. Has power in his lead shoulder when challenging safeties in open field. Understands where run track is supposed to lead him. Used as screen receiver over last two seasons but can catch it. Could become a third down option if he improves pass protection.","Doesn't always play to his size. Too willing to eat contact rather than dole it out. Can be slowed by arm tackles. Hip tightness prevents him from consistently slipping leg tackles on perimeter runs. Jump cuts gain limited ground. Appears to anticipate contact at times when attacking run creases. Below average elusiveness once defenders close him out in the open field. Tires are missing some tread. Has had over 1000 touches during his career. Has become more of a grinder than a slasher as his career has moved forward. Lacks an explosive ""get-away"" gear to pull away from tacklers.",OREGON,71,RB,Denver Broncos,2018
Nyheim Hines,https://www.nfl.com/prospects/nyheim-hines/32004849-4e22-6970-73da-06472dd4984b,"Hines has dual-threat talent but doesn't have the size for full-time work at running back and is in need of much more work as a receiver. Hines' value to teams could rest upon how they envision using him. It is possible that he benefits from the success of Saints rookie Alvin Kamara with teams looking to plug him into that role, but he's not on Kamara's level. Hines is a linear runner whose ability to cut and burst would fit with teams looking for a change of pace back in an outside zone running scheme.","Two-sport participant who brings real sprinter's speed to the turf. Versatile threat offering creative offensive coordinators a toy to tinker with. Has experience as lone running back and slot receiver. Flashed his homerun potential with touchdown runs of 83, 54, 50, and 48 this season. Most comfortable when he's keeping outside zone carries over the tackle. Build-up speed can eliminate pursuit angles and thrust him into open space for chunk yardage. Quality stiff-arm. Plays with adequate toughness to gain yards after contact. Hands and catch focus showed improvement this season as a receiver. Possesses raw talent waiting to be molded. Has kick and punt return experience and has taken three kicks back for touchdowns. 
",Smaller than ideal as a running back. Needs to do better job of sidestepping big hits or face durability concerns. Better athlete than running back and better runner than receiver. Lacks feel for blocking in front of him. Hasn't learned to hug the lane and flow away from traffic just yet. Can be slow to see run lane development allowing defenders a chance to close. Needs to run with more consistent tempo and rhythm in outside zone. Vision stalls when attempting to find cutback lanes. Not a natural pass catcher and has dealt with drops throughout his career. Needs to improve sink into routes and quickness into his breaks.,N.C. STATE,100,RB,Indianapolis Colts,2018
John Kelly,https://www.nfl.com/prospects/john-kelly/32004b45-4c64-1184-f35f-fa8ffac29350,"Kelly is a little undersized but is a tough runner and capable pass catcher who has the potential to play all three downs if needed. He can add additional yardage with plus contact balance and an ability to push through tackles, but his average burst between the tackles and around the edge could mean hell have to live the life of a grinder. Kelly is a solid committee back with the ability to handle full-time duties if called upon.",Stout and tough. Runs with low center of gravity and exceptional balance through contact. Creates yardage through power. Absorbs angle tackles and maintains his track. Often takes multiple tacklers to finish him. Runs behind his pads and hits it full-throttle into collision. Gave Ronnie Harrison work when they went head to head. Stiff-arm is just that. Able to push tacklers aside around the edge. Decent gather and cut footwork on second level. Competitive pass blocker who will sort and square opponents. More dangerous as pass catcher than numbers would dictate. Often run into no-win situations on flat routes. Displays wiggle to separate on route breaks. ,"Slightly undersized. Average quickness and below average speed. Inconsistent running away from tacklers around the corner or down the field. Lacks the ""hit it and go"" to clear traffic through line of scrimmage. Looks for lanes, but misses creases. Lacks creativity as inside runner. The path is the path. Needs to press line of scrimmage a shade longer to open cutbacks. Tardy to accelerate after jump cuts. Scouts say character is a little spotty.",TENNESSEE,162,RB,Los Angeles Rams,2018
Bo Scarbrough,https://www.nfl.com/prospects/bo-scarbrough/32005343-4155-6552-23db-bd78c453b277,"Scarbrough can be a runaway locomotive, but he needs a long track to get rolling or his effectiveness will drop sharply. Scarbrough won't make tacklers miss, but he is a brute force who can add yardage to the end of runs. Scarbrough is a one-cut runner who is best in an under-center rushing attack where he can get carries in bunches. He has the talent to be an effective NFL running back, but durability concerns and a lack of pass catching ability could cap where teams are willing to consider drafting him. His explosive testing at the Combine could intrigue teams who had written him off previously.","Tapered, powerful physique. Is a punisher behind his pads. Can absorb solid blows and keep runs alive. Will always fall forward once he gets a head of steam behind him. Plays with steady tempo. Has surprising ability to gather weight and cut sharply downhill as outside zone runner. Generally comfortable making reads and choosing track from I-formation. Tackling him high ends poorly for defenders. Able to create additional yardage through power and long speed. Able to batter defenses late in game and then hit the chunk play. Short yardage touchdown specialist who can leap up-and-over the pile. Had dominant stretch against Auburn, Florida, Washington and Clemson late last year. Can thump in blitz pick-up. Hasn't had to handle a heavy workload thanks in part to Alabama's committee approach.",Plays with upright running style. Frame too accessible for big hitters looking for a slab of ribs. Durability is a major concern. Has suffered through multiple lower body injuries dating back to high school. Long strider who needs a long runway to get to top speed. Doesn't have bend and footwork to string moves together. Too big and leggy to counter sudden penetration in backfield and needs runs to stay on schedule. Impatient with a penchant for crowding lead blockers and eliminating his own escape routes. Burst and feel for running lanes is below average. Defenders got hands on him much earlier in the carry than his teammate Damien Harris. Missing second-level vision to play chess against linebackers.,ALABAMA,210,RB,Dallas Cowboys,2018
Kalen Ballage,https://www.nfl.com/prospects/kalen-ballage/32004241-4c60-8677-837d-5f12080d8f67,"Ballage looks great on the hoof and should test well at the Combine, but his lack of decisiveness and vision make it hard to envision him as a full-time RB1. Ballage can do a little of this and a little of that, but a team will need to have a clear-cut plan for how to use him. Ballage's size and athletic ability will appeal to teams as will his ability to play on third downs and return kicks.","Excellent body composition and frame. Possesses an athletic build with well-proportioned upper body and lower body that squats over 500 pounds. Versatile player who has experience as an off-set runner, a pass catcher out of the backfield and a wildcat quarterback. Has experience returning kicks. Plays with adequate burst between tackles. Lowers shoulder and accelerates feet into and through contact to fall forward. Has secondary power to find a tough yard near end zone. Clean hands as pass catcher. Displays ability to adjust to poorly thrown balls. Can line up in the slot. Able to slip first tackle attempt after the catch in open field. Needs to protect with better technique, but his size is effective in taking on blitzers.","Doesn't have the hips or feet to cut with sharpness after flowing hard to the edge. Runs too upright to squeeze through tight rush lanes. Plays with early indecisiveness. Takes too many skip steps in his approach downhill allowing defense time to fight past blocks. Field vision is severely lacking. Allows open run lanes to go unused. Feet can get confused when faced with unexpected traffic. Athletic, but not elusive. Not nearly as hard to tackle as expected. Play regressed somewhat from 2016.",ARIZONA STATE,127,RB,Miami Dolphins,2018
Nick Bawden,https://www.nfl.com/prospects/nick-bawden/32004241-5734-6075-a91d-09a2ddc139e7,"Quarterback turned fullback who has bought into the physicality of the fullback position and has the mangled nose to prove it. Bawden has good size and is a competent pass-catcher. The market for old-school fullbacks has shrunk, but he has the ability to find a roster home as a contributing lead blocker and pass catcher on play-action.","Shows ability to make adjustments in his block responsibility quickly when needed. As a run blocker, looks for work. Able to engage and sustain long enough for running backs to hit the crease. Triggers and accelerates into contact when he finds his target as iso-blocker. Able to unlock hips into contact. Decent athlete in space and can get his kick-out blocks on the perimeter. Catches with reliable hands. Able to be used as pass-catching option out of backfield even with a cast on his hand.",Looks hesitant at times when his expected block doesn't show up in the hole as lead blocker. Needs to improve with his hands at the point of attack. Will allow arms to get wide and grabby at times. Can play with a little better knee bend to improve his pad level at the point of attack.,SAN DIEGO STATE,211,RB,Detroit Lions,2018
Chase Edmonds,https://www.nfl.com/prospects/chase-edmonds/32004544-4d18-1116-8de3-583c7ff1d2b8,"Edmonds is a highly productive runner with a compact frame, good agility and plus athletic traits. While he flourished against a lower level of competition, he may find that he's unable to beat NFL defenses with burst alone. Edmonds needs to play with more consistent pace and decisiveness to reach his potential. He has the talent to fit into a committee approach but could be limited to more outside running duties. ","Highly productive four-year starter. Well-built, durable frame with thick calves and thighs. Hips can swivel freely. Quick to gather, sink and redirect when cutting. Uses acrobatic twists, turns and directional changes to battle back against would-be tacklers. Runs with good bend and wide base. Burst features explosive, long first stride. Can blow by defensive linemen looking to play off blocks to make the tackle. Has speed to eat up the corner against defenses who lapse with their contain. Powers through arm tackles. Runs with adequate contact balance. Leak-out pass catcher with the athletic traits to become an effective route-runner if asked.",Frame appears maxed out. Dealt with injuries his senior season after handling heavy workload for three prior seasons. Lacks decisiveness and appears slow to process interior rush lanes. Approach to line of scrimmage lacks pace. Needs a better feel for blocking schemes. Always on the lookout to bounce runs outside. Not as instinctive on second level as expected. Better at running around linebackers than juking them. Blitz pickup and anchor need improvement.,FORDHAM,130,RB,Arizona Cardinals,2018
Jaylen Samuels,https://www.nfl.com/prospects/jaylen-samuels/32005341-4d71-3301-f2ff-d32355fda80f,"Some may see Samuels as a valuable hybrid talent, while others may see a player who offers roster flexibility but lacks a position where he can win consistently. Samuels isn't a tight end and has to prove he can handle blocking duties well enough to be a fullback. He will, however, appeal to teams looking to disguise their attacks with more diversified personnel groupings. Samuels best fit may be with a zone-scheme team as a RB/FB with the ability to play slot receiver and become a core special teamer.","Provides roster flexibility thanks to his unique versatility. True ""all-purpose"" player. Used as zone-scheme runner, on jet sweeps, bubble screens, at slot receiver, outside receiver, and in ""Wildcat"" this season. Proved he could handle some running back duties this season. Had success using his size and effort in finding paydirt as goalline running back. Can make first tackler miss in space. Active with off-hand to swipe away arm tackles. Has intelligence to process expansive, individual game plan and take it to the field. Can separate from linebackers looking to cover him from slot. Able to drop low and snare low throws. Has carried more weight in the past and has the frame to do that again if necessary. Provides kick cover talent and has experience returning kickoffs.","Considered a hybrid player, but lacks a defined position. Tape doesn't show enough tenacity to help running game as an H-back. Play speed and short area quickness are average. Usually gets what is blocked as a running back. Need to see more vertical push into his routes. Tight hips prevent sharp cuts as running back or receiver. Routes lack purpose and route-running is raw. Piled on catch production with bubble screens, shovel passes, and hitch routes. Struggles to pull in throws outside his frame. Focus appears to be an issue. Has too many drops and double-catches as a receiver.",N.C. STATE,156,RB,Pittsburgh Steelers,2018
Mark Walton,https://www.nfl.com/prospects/mark-walton/32005741-4c80-8914-fd4d-6ca747e909bd,Walton is a fluid combo back with the ability to compete for committee carries and third down snaps. His 2016 tape gives a better indication of his quickness since he was nursing an ankle injury for much of the time he played this year. His indecisiveness as an interior runner should be taken into account when offensive coordinators decide to use him. Walton has the ability to become a solid backup who can handle a heavier touch load over smaller stretches if needed.,"Short but stout. Has thick, powerful lower body. Runs with knee bend and balance. Loose hips can rotate to find sharp cutback opportunities. Finds yardage for himself when blocking isn't there. More decisive and confident when working from dotted ""I"". Able to hug run lane tight when needed. Good acceleration to the corner. Touchdown maker. Drops pads and gets forward lean into first contact. Effective attacking linebackers out of backfield. Makes initial tackle attempts miss and has burst to turn a short catch into a chunk play. Good ball tracker on wheel routes. Hands are sticky like a wideout. Will stick a stiff shoulder into chip blocks and is willing to stand in against blitzers. Didn't fumble over his last 274 carries. ",Way too much dancing as off-set back. Shows distrust of the blocking plan and will void the rush track early. Takes long looks for clear point of entry rather than finding the crease. Vision and decisiveness as inside runner are below average. Big runs come from bouncing wide. Run strength is average. Uses gather step pre-cut rather than plant-and-go delaying downhill burst. Long-strider for a short back. Not overly explosive on lateral jump cuts. Coming off of season-ending ankle surgery.,MIAMI,108,RB,Cincinnati Bengals,2018
Justin Jackson,https://www.nfl.com/prospects/justin-jackson/32004a41-4328-3219-d5e0-94e7d9512273,"Jackson is a productive, durable runner with the foot quickness and agility to make defenders miss on all levels of the field, but has a thin frame that could turn some teams off. While Jackson carried a heavy workload in college, he's unlikely to find that opportunity in the pros. Jackson's elusiveness gives him a shot at a backup role, but he will need to improve as a third-down option.","Unorthodox running style creates early indecisiveness in tacklers. Has decent initial burst when he has a clear track to follow. Slippery, flexible upper body is able to contort around interior tacklers. Has some decent maneuverability in tight quarters to find hidden yardage in a crowd. Able to gather feet and sink hips for sharp, downhill cuts. Looks natural stringing jump-cuts together when he finds a rhythm. Lateral cuts can be sudden and elongated for greater escapes. Plays with toughness. Has quickness and tools to become a more dangerous route-runner out of the backfield. Elusiveness can help him turn a four-yard dump pass into a third-and-long conversion.","Slightly built with spindly legs and thin waist. Sets up in knock-kneed stance pre-snap. Runs with narrow base. Doesn't have lower body power to resist arm tackles. Tacklers finish his runs for him. Herky-jerky, segmented runner needs to smooth out approach. Accesses hitch step too often on stretch plays limiting his play speed. Leggy runner with upright gait. Defaults to early jukes and fakes rather than utilizing ""see and go"" approach. Hands can be clumsy when attempting to catch throws below his waist. Had to carry heavy workload for four years. One of just two players over last 20 years to have 1,100 career rush attempts.",NORTHWESTERN,225,RB,Los Angeles Chargers,2018
Jordan Wilkins,https://www.nfl.com/prospects/jordan-wilkins/32005749-4c08-8337-ca0c-7bfc2f7b2caa,"Finesse runner with good size and great agility with the lateral agility to elude tacklers in the open field and the speed to make them feel it. Wilkins lacks the aggressive running demeanor to take it to tacklers, but he does have moments of effectiveness along the interior thanks to his footwork and vision. Wilkins 12 carries against Alabama could be hard for teams to ignore as they look to project his NFL potential. He should find work as a solid backup with a shot at finding starters carries at some point. ","Checks the height, weight, and speed boxes. Hips swivel freely and is very agile. Able to access any side door he needs to for quick escapes. Plays with slasher qualities. Saw over 10 percent of his runs in 2017 go for 15-plus yards. Has sudden, one-cut ability with the juice to launch himself through line of scrimmage and into the open field. Feet are light and nimble. Runs with knee bend and good pad level. Excellent footwork in tight quarters. Has balance and vision to navigate fluid run lanes. Glides behind lead blockers allowing them to do their work. Wiggle makes him dangerous in space. Not much tread off his tires as a runner. Averaged 7.1 yards per carry against SEC competition including 101 against Alabama.","May have NFL size, but doesn't run like it. Much more flight than fight in his game. Averaged just 1.7 yards after contact. Slows into contact and doesn't finish behind his pads. Has moments of indecisiveness between the tackles. Plays with too much gear-shifting as a runner allowing run creases to muddy. Needs clear point of entry before committing to the cause. Tempo and pace can be inconsistent early in the carry. Pass protection was miserable against Mississippi State.",MISSISSIPPI,160,RB,Indianapolis Colts,2018
Ito Smith,https://www.nfl.com/prospects/ito-smith/3200534d-4934-2780-bc1f-aa0a71b0ad00,"Undersized workhorse with 940 career touches and 49 career touchdowns. For all of his production on the ground, Smith lacks the explosive qualities of a slasher. Smith's lack of size and burst could hinder his chances as a running back, but his talents as a pass-catcher could keep him alive in a camp.","Runs with good bend staying low to the ground as he makes his way through traffic. Stays tucked behind blockers until the time in right on stretch plays. Runs with little wasted motion. Has one-cut ability. Vision is decent. Stronger in lower body than expected for a small back. Leaned on as a pass-catching option. Averaged 10.5 yards per catch over the last three years. Hands are natural. Runs mostly angle routes and flats, but usually gets good separation out of his breaks.",Carries small frame. Doesn't often fall forward through contact. Footwork is overly deliberate when gearing down and cutting. Doesn't run with necessary suddenness for next level. Burst gear is below average. Has to play with quicker pace to stay ahead of NFL pursuit. His runs feature too much thinking and not enough reacting. Not as functionally elusive as he needs to be for a small runner.,SOUTHERN MISSISSIPPI,122,RB,Atlanta Falcons,2018
Trenton Cannon,https://www.nfl.com/prospects/trenton-cannon/32004341-4e67-8301-f62c-beadb4a19a53,Tremendously explosive change-of-pace runner who will need to live in the cafeteria and the weight room early on to help build his frame up to NFL standards. Cannon has juice for days and that big-play ability in space will be very appealing to teams as a likely undrafted free agent. Cannon can catch it and has a history of handling kick return duties when needed so that may be enough to help him find a practice squad this season.,"Explosive athlete with breakaway potential.
Posted 38.5-inch vertical leap and 10-foot-9 broad jump.
Ran 4.40-second 40-yard dash with electrifying 1.49 10-yard split.
Gets to top gear immediately to pull away from defenders when racing around the corner.
Loose hips with lateral agility to make sharp, late cuts to avoid tacklers who are on top of him.
Homerun ability with 35 rushing touchdowns over the last two seasons.
Offers special teams potential with three kick returns for touchdowns during career.","Smallish back at just 185 pounds.
Lacks frame for anything more than a change-of-pace role.
Unable to push through contact to break tackles and add to his yardage after contact.
Will get too far along into the run and ends up limiting his backside options.",VIRGINIA STATE,190,RB,New York Jets,2018
Josh Jacobs,https://www.nfl.com/prospects/josh-jacobs/32004a41-4373-4615-60ca-982d07046841,"Prototypical combination of size and skill-set as an every-down runner with the ability to slash or impose his will on any given snap. Jacobs runs with good bend, vision and burst, and he proved to be an effective pass-catcher out of the backfield or from the slot. He will probe and burst, but he could become more elusive with better tempo as a runner. Jacobs is a decisive runner with outstanding one-cut talent to become a bellcow lead back.",Built like you want with low center of gravity and sturdy frame. Forceful and violent as a finisher. Gives extra effort for successful short-yardage carries. Stout base to balance through contact and beyond. Patient but decisive on outside zone runs. Allows blockers to do their jobs. Instinctive with timing for quick cuts off of block development. Comfortable as a single back or behind a lead blocker. Has gas to bounce it to and around the corner. Footwork for controlled cuts in tight quarters. Good effectiveness as a pass-catcher. Used out of backfield in packages. Has ability to track the ball like a receiver.,"Low percentage of explosive carries. Might not have enough speed to hit the home run. Gather and cut is slightly exaggerated. Tends to keep gas pedal mashed once he decides to go. Struggles to slow, gather and cut beyond second level. Doesn't create enough indecision in open-field tacklers. Content to default into heavy contact. Rarely counted on to handle blitz pick-up duties on third downs.",ALABAMA,24,RB,Las Vegas Raiders,2019
David Montgomery,https://www.nfl.com/prospects/david-montgomery/32004d4f-4e48-7374-a044-7fb197b6b501,"One of the safest runners in this draft with a desirable combination of size, vision, toughness and creativity. He runs with impressive calm and instincts in the midst of interior mayhem, weaving and battering his way through traffic. Smart teams will recognize his ability to create yardage for himself with his eyes, footwork, contact balance and power. Should alleviate concerns about his lack of explosiveness. Montgomery has a pro-ready game and Day 2 (Rounds 2-3) value as a good NFL starter.",Compact frame is built for the rigors of his work. Instinctive runner with ability to stack moves. Patient runner with plus vision up to second level. Glides behind his bigs and sets up his blocks. Gears up and down to counter flowing linebackers. Rhythmic but forceful. Offers no easy outs for tacklers. Powerful lower body creates rare contact balance. Adequate agility to elude one tackler and then punish the next. Takes care of the football and rarely fumbles. Plays with shake at the top of his route. Natural hands with ability to pluck it outside his frame. Good blitz recognition in pass pro.,"Heavy workload over the last two seasons. Has carried it 20-plus times in 13 of his last 19 games. Takes his fair share of heavy hits. Runs with some tightness in his hips. Unable to make steep cuts against the grain on backside. Below-average burst to open space. Low number of explosive carries during his career. Lacks pure speed to outrun NFL linebackers to the corner. Makes a tackler miss, but doesn't have juice to get away from the next one.",IOWA STATE,74,RB,Chicago Bears,2019
Miles Sanders,https://www.nfl.com/prospects/miles-sanders/32005341-4e15-3567-869d-79c73965b54e,"Well-built glider with the instincts, footwork and agility to shake tacklers but the frame and pad level to finish with some authority. He can clearly create yardage for himself, but he has average acceleration and might need to expedite his downhill process as a pro. Sanders is more skilled than explosive, but he has the size and talent to develop into a future starter with every-down potential.",Low mileage with just 276 career carries. Built like NFL runner with well-defined lowers and loose hips. Typically patient as a runner. Good vision and quick to process what he sees. Footwork to probe and dart around early traffic. Able to string his moves together. Instinctive with feel for crevices inside the run lane. Lateral agility for slick side-door exits. Runs with forward lean and squared pads. Possesses above-average contact balance and falls forward. Creates through elusiveness and power. Third-down option with decent hands and size to block.,"Never eclipsed 51 rushing yards against Kentucky, Ohio State or Michigan. Needs to run with more plant-and-go mentality. Gets too cute in the hole at times. Lacks explosiveness and speed to the corner. Average access to burst after a cut. No home-run speed in open field. Doesn't separate from linebackers on wheel routes. Chip blocks lack commitment. Ball security appears to be an issue. ",PENN STATE,53,RB,Philadelphia Eagles,2019
Damien Harris,https://www.nfl.com/prospects/damien-harris/32004841-5231-1469-57ad-03c4e9f5e495,"Disciplined and rugged with a very strong sense of who he is as a running back. He operates with a good feel for blocking schemes and finds the designed yards while adding extra with his power and some elusiveness. He lacks game-breaking juice as a runner and will need to keep his weight down or he'll end up in the ""grinder"" category of runners. Harris is more likely to be good than great as a pro, but his size, every-down game and ball security give him a chance to have fruitful career as a solid starter.","Well proportioned with the the frame thickness to handle physical work. No-nonsense runner, with no sign of cuteness in his game. Takes a committed effort to bring him down and runs through initial contact to fall forward. Patient zone runner with good feel for when to keep it flowing play-side and when cut it. Trusts his blocking up front and generally keeps runs true to designated point of entry. Has feet to slalom around interior traffic and a sudden jump-cut for alternative lane choice. Tremendous feel for space. Works away from traffic while maintaining efficient rush track. Ability to secure and maintain possession of the football is elite. More than ready to stick his nose in and mix it up in blitz pick-up. Scans for leaks in pass protection and uses good technique to square and sustain blocks. Very capable as dump-off pass catcher with soft hands and desired ball skills. Shared carries in deep Alabama backfield has helped reduce wear and tear.","Doesn't have burst to and around the perimeter to consistently outrun speedy linebackers. Average burst through line of scrimmage will test his tackle-breaking talent. Improved open field wiggle considered average by NFL standards. Size and running style not geared to ""make you miss"" moves up to second-level tacklers. Struggles to get accelerator racing again when forced to slow feet. Hard-hat approach means linebackers usually know where and when to find him. Far-sighted approach as short-yardage runner limits ability to find subtle crevices. Gives in to head-first charges in short yardage.",ALABAMA,88,RB,New England Patriots,2019
Darrell Henderson,https://www.nfl.com/prospects/darrell-henderson/32004845-4e05-4456-6f99-3e76d883b110,"He checks in slightly undersized, doesn't have great vision and runs with a narrow base that makes him easier to tackle, but so far, those concerns haven't slowed him one bit. Big-play production is impossible to ignore, but his running style makes him best-suited to a complementary slasher role in a spread-based attack. In basketball, Henderson would be the explosive sixth man with the ability to swing certain games in your favor if he catches fire. On the ground or out of the backfield, Henderson can catch fire.",Home-run hitter doesn't begin to describe his explosive production. Averaged 8.9 yards per carry over last 344 attempts. Movement has electric feel to it. Quick acceleration turns to get-away long speed. 43 carries of 15-plus yards and 11 total touchdowns of 54-plus in 2018 alone. Unusual contact balance for narrow-base runner. Keeps feet moving at all times. Hits and spins out of contact. More physical than expected as run finisher. Used on drop-offs and screens out of backfield. Maintains potency as a pass catcher. Shows ability to track and adjust down the field.,Comes in a little smaller than desired for an early down back. Upright running style with narrow base. Needs to get better at slipping solid contact. Displays some hip tightness and is a one-track runner. Plays too fast to effectively stack moves. High center of gravity forces turn rather than cuts. Faced light numbers in the box. Touchdown runs happening in wide-open spaces. Sees what is there rather than what is developing. May not offer pass protection value on third down.,MEMPHIS,70,RB,Los Angeles Rams,2019
Dexter Williams,https://www.nfl.com/prospects/dexter-williams/32005749-4c03-6343-3624-9a83687bd3f7,"Ascending every-down running back prospect who showed major flashes of becoming an NFL starter in his most active season to date. Williams runs with a good combination of feel, force and juice, which allows for a variety of methods in creating yards for himself. His evaluation could require additional character work and his relative lack of experience could mean a slower integration into an NFL offense; however, he offers exciting upside with the talent to become a productive, NFL starter.","Possesses adequate NFL size with good flexibility. Stepped into bell-cow role with ease. Had four games with 140-plus yards and averaged a touchdown run every 12 carries. Understands block development and where lanes will originate. Adequate decisiveness as interior runner. Presses line of scrimmage to set blockers up for success. Loose hips to flow where his eyes take him. Processes traffic quickly to work away from peek-a-boo gap-fitters. Impressive acceleration. Mashes gas to win foot races to corner or hit the home run. Runs with square pads and drops heavy, pre-emptive blows on tacklers. Small career workload for fresh NFL legs. Ball security has been excellent in relatively limited work.
",Small sample size with limited tape against quality competition. Never more than 39 carries in a single season before 2018. Has an arrest (2016) and four-game suspension (2018) in his background. Slew-footed running style can affect balance through cuts. Needs to step in and square blitzers rather than defaulting to body rolls. Easier to upend in space because of narrow running base. Vision goes from good to average after he's past the line of scrimmage. Average elusiveness in open field.,NOTRE DAME,182,RB,Green Bay Packers,2019
Rodney Anderson,https://www.nfl.com/prospects/rodney-anderson/3200414e-4447-1841-e43a-8a52ce91e342,"Volume runner plagued by a history of injuries that could make teams wary of him until after completion of his combine medicals. Anderson has good size and instincts as an interior runner, but he lacks the juice to be a dynamic runner and might be forced to earn his living as a downhill hammer with the ability to leak out on swing passes. His lack of elusiveness and history of season-ending injuries could force him to earn his stripes early on from the lower rung of a running back depth chart.",Nose for paydirt with 21 career touchdowns over just 217 total touches. Runs with some looseness in hips. Instinctive in maneuvering through interior traffic. Feels width of run lane and development of blocking scheme. Rhythmic runner who can cut without slowing once he's rolling downhill. Patient hiding behind blockers and waiting for them to engage. Uses stiff-arm as reliable deterrent to angle tackle attempts. Powerful base with contact balance to shake free of tall tackle attempts. Capable pass-catcher out of backfield who is quick to hit it upfield. Good hands and flashed ability to adjust to poorly thrown balls.,"Lacks twitch and dynamic movement as an athlete. Running style is more gradual than sudden. Marginal difference in burst between first and second gear. Upright through the hole and takes punishing shots. Average speed to the corner could be trouble against NFL pace. Slow to restart feet once he's forced to gear down. Struggles to elude tacklers in close quarters. Suffered season-ending injuries in three of the last four seasons. Below-average awareness and take-on toughness as pass blocker.
",OKLAHOMA,199,RB,Cincinnati Bengals,2019
Ryquell Armstead,https://www.nfl.com/prospects/ryquell-armstead/32004152-4d08-7415-19ec-70f8e3f1c566,"Face-first runner who doesn't appear to care that brakes come standard with the vehicle. Armstead's feet fire like pistons from the beginning of the snap all the way through his physical finishes. While he's not classically elusive, he does find his own yards by slithering through tight quarters or stacking yards after contact. His size, decisiveness and effort in pass protection should land him work as a backup, but his play traits could help him find more carries than expected as a pro.","Good size with NFL thickness through his thighs. Known for competitive nature. Decisive and fearless. Downhill locomotive with ability to alter rush track without tapping the brakes. Needs no point of entry as inside runner and gets it in. Good feel for hugging contours of the gap and squeezing through. Feet are in constant state of chop, allowing for additional balance through contact. Runs with low pads and forward lean. Drives through contact to break tackles or finish falling forward. Possesses mindset and play strength for ""gotta have it"" short-yardage spots. Sifts to find his responsibility as pass protector. Willing to mirror and square blitzers with adequate effort.","Could stand to run with better patience and rhythm. Aggressive nature leads to immediate gas into traffic. Needs to take a breath and allow blocking in front of him to develop. Short-strider with below-average explosive burst to the perimeter. Field vision appears to be narrow. Missing lateral agility to jump-cut around tacklers and bounce runs wide. More chain mover than chunk-play runner. Minimal factor as pass catcher.
",TEMPLE,130,RB,Jacksonville Jaguars,2019
Bryce Love,https://www.nfl.com/prospects/bryce-love/32004c4f-5604-4766-ac8b-19be320b56b7,"Frenetic runner with explosive engine that was grounded in 2018 due to lingering injury and substandard run-blocking. Love lacks the desired size of a volume runner, but his sudden burst and top-end speed offer home-run potential that is unlikely to be ignored by teams looking to add a big-play option into their offense. Love could find his calling in a time-share situation, but his ceiling as a pro might rest on his ability to run with decisiveness and threaten as a pass-catcher..","Character considered an A+ by scouts. Highly intelligent and quick to process new information. Willing to play through pain. Keeps feet moving through his reads. Quick, controlled steps provide balance and on-demand acceleration. Wins foot races around the corner against linebackers. Burst and top-end speed to turn 16 yards into 60. Runs feet through contact as interior runner. Able to get skinny and squeeze through tight creases. Slides and pivots around big bodies littering his path. Rare ability to stay square in his lateral movements away from tacklers. Better pass-catching option than numbers would indicate.",Tweener size might hinder both rush volume and draft value. Excessive stutter-and-gather in his downhill approach. Running style is more frantic than fluid. Will need to run with better trust and anticipation as a pro. Somewhat average in setting up defenders before his cuts. Field vision and recognition of backside opportunities is average. Lacks size to prolong NFL runs after contact. Could struggle to hold his ground in blitz protection. Looks less confident in gap-scheme than zone.,STANFORD,106,RB,Washington Commanders,2019
